RBD;IVE BÁSICA 2021;IVE MEDIA 2021
8489;62%;83%
8490;57%;72%
8491;83%;81%
8492;75%;85%
8494;NO;70%
8495;NO;77%
8496;NO;73%
8497;66%;70%
8498;49%;73%
8499;84%;87%
8500;NO;88%
8501;42%;66%
8502;NO;92%
8503;74%;84%
8504;NO;90%
8505;NO;93%
8506;NO;89%
8507;NO;90%
8508;NO;73%
8510;NO;77%
8511;79%;80%
8514;81%;85%
8518;70%;71%
8535;73%;67%
8542;79%;87%
8589;73%;80%
8592;66%;68%
8598;NO;82%
8601;NO;76%
8603;78%;76%
8604;56%;68%
8611;65%;72%
8613;68%;78%
8614;75%;83%
8615;73%;83%
8616;59%;79%
8617;NO;89%
8618;NO;83%
8620;63%;72%
8625;79%;85%
8627;52%;66%
8629;78%;83%
8631;91%;92%
8632;86%;89%
8634;62%;74%
8636;64%;71%
8639;61%;73%
8643;58%;75%
8644;NO;84%
8645;82%;84%
8649;76%;74%
8650;NO;84%
8652;66%;68%
8654;NO;72%
8657;77%;74%
8658;65%;75%
8666;82%;80%
8671;80%;85%
8675;75%;73%
8676;80%;84%
8680;65%;75%
8681;84%;85%
8682;77%;78%
8697;64%;71%
8715;78%;86%
8724;67%;79%
8740;59%;74%
8756;61%;72%
8791;55%;68%
8811;NO;83%
8812;NO;92%
8813;NO;89%
8814;NO;69%
8815;66%;70%
8818;71%;74%
8819;54%;62%
8821;55%;64%
8822;80%;85%
8825;59%;74%
8827;55%;64%
8828;76%;82%
8833;46%;61%
8835;86%;81%
8841;85%;82%
8849;69%;74%
8854;42%;54%
8925;81%;82%
8926;75%;78%
8927;75%;74%
8928;67%;77%
8930;83%;82%
8938;NO;81%
8944;54%;63%
8945;NO;88%
8954;45%;63%
8997;76%;61%
9006;84%;90%
9007;69%;79%
9008;76%;87%
9020;74%;77%
9033;66%;77%
9058;NO;90%
9060;76%;86%
9061;NO;87%
9063;NO;85%
9064;NO;90%
9065;NO;89%
9069;83%;86%
9071;60%;65%
9072;82%;75%
9073;69%;82%
9074;79%;81%
9075;NO;84%
9077;53%;77%
9078;70%;75%
9082;NO;76%
9087;91%;90%
9088;91%;90%
9100;58%;70%
9105;91%;94%
9106;90%;92%
9107;NO;89%
9111;87%;88%
9117;92%;89%
9140;86%;84%
9146;71%;94%
9147;72%;76%
9150;80%;86%
9151;56%;59%
9158;89%;89%
9159;NO;90%
9164;87%;88%
9168;82%;84%
9172;85%;87%
9177;NO;85%
9179;63%;69%
9182;80%;88%
9183;NO;84%
9184;52%;73%
9185;70%;75%
9194;81%;87%
9200;93%;89%
9208;71%;76%
9209;70%;76%
9213;91%;98%
9281;NO;83%
9283;76%;76%
9285;83%;88%
9288;92%;89%
9292;74%;84%
9293;82%;86%
9294;91%;85%
9298;81%;87%
9312;74%;84%
9317;42%;62%
9318;74%;85%
9324;91%;95%
9328;89%;92%
9332;94%;91%
9339;87%;90%
9340;67%;77%
9347;81%;86%
9356;67%;77%
9362;71%;79%
9369;82%;82%
9373;78%;83%
9375;92%;91%
9377;79%;86%
9385;79%;82%
9405;78%;74%
9406;75%;81%
9407;NO;90%
9408;NO;90%
9409;NO;91%
9410;78%;83%
9411;71%;76%
9419;79%;88%
9472;NO;90%
9474;NO;89%
9484;63%;74%
9486;78%;81%
9487;NO;93%
9489;NO;87%
9500;59%;70%
9502;86%;86%
9504;73%;82%
9505;83%;83%
9519;71%;75%
9534;60%;78%
9553;65%;77%
9564;52%;65%
9570;43%;60%
9579;NO;92%
9581;NO;90%
9582;NO;95%
9583;NO;97%
9584;NO;97%
9587;88%;89%
9599;89%;94%
9601;NO;92%
9608;NO;93%
9634;96%;95%
9637;85%;91%
9638;92%;93%
9646;NO;92%
9647;90%;90%
9655;81%;87%
9656;88%;89%
9659;81%;86%
9660;86%;89%
9665;94%;95%
9666;98%;98%
9673;89%;52%
9684;86%;91%
9686;NO;97%
9687;NO;92%
9688;NO;90%
9690;NO;84%
9693;NO;92%
9694;NO;92%
9695;84%;79%
9697;93%;92%
9701;73%;71%
9722;NO;76%
9726;84%;76%
9754;NO;89%
9757;73%;79%
9758;73%;83%
9759;71%;79%
9766;62%;71%
9767;53%;67%
9768;61%;70%
9771;77%;84%
9779;NO;94%
9780;95%;93%
9781;NO;93%
9784;NO;98%
9796;87%;93%
9797;75%;79%
9799;85%;86%
9800;87%;92%
9801;82%;83%
9810;90%;91%
9824;86%;89%
9827;78%;89%
9828;89%;88%
9829;NO;95%
9834;96%;97%
9844;96%;97%
9845;88%;92%
9852;80%;79%
9853;94%;93%
9860;NO;88%
9861;71%;78%
9862;NO;90%
9863;86%;85%
9864;91%;89%
9865;84%;88%
9866;NO;82%
9867;84%;92%
9887;93%;89%
9889;95%;92%
9896;NO;87%
9897;NO;91%
9900;NO;89%
9903;71%;79%
9905;62%;60%
9906;85%;84%
9907;58%;71%
9909;90%;91%
9910;83%;89%
9911;73%;82%
9912;84%;84%
9917;93%;91%
9919;68%;75%
9924;54%;60%
9926;81%;85%
9930;80%;86%
9937;61%;70%
9940;71%;76%
9942;71%;76%
9945;89%;88%
9947;73%;81%
9950;82%;85%
9955;83%;81%
9957;NO;88%
9959;90%;89%
9960;61%;66%
9967;48%;63%
9972;77%;84%
9973;45%;57%
9979;72%;82%
9981;NO;91%
9982;NO;94%
9985;NO;82%
9986;NO;86%
10023;79%;81%
10030;78%;83%
10042;72%;73%
10044;NO;90%
10052;NO;91%
10058;66%;73%
10069;80%;79%
10073;NO;93%
10075;NO;93%
10076;77%;89%
10077;NO;92%
10091;86%;89%
10106;76%;85%
10126;93%;93%
10130;91%;90%
10140;78%;85%
10158;85%;93%
10162;82%;89%
10164;89%;93%
10187;83%;84%
10193;90%;90%
10196;NO;91%
10199;62%;77%
